Type;Project;Namespace;Object;Child;Sev;Rule;Msg
Data type;Iec Unit Test;Global;utTestCase;;Quality;Data type unused;utTestCase is possibly not used in the project
Data type component;Iec Unit Test;Global;utTestCaseStates;SETUP;Quality;Missing description;Component SETUP is missing description
Data type component;Iec Unit Test;Global;utTestCaseStates;RUNNING;Quality;Missing description;Component RUNNING is missing description
Data type component;Iec Unit Test;Global;utTestCaseStates;PASSED;Quality;Missing description;Component PASSED is missing description
Data type component;Iec Unit Test;Global;utTestCaseStates;FAILED;Quality;Missing description;Component FAILED is missing description
Data type component;Iec Unit Test;Global;utErrors;NO_ERROR;Quality;Missing description;Component NO_ERROR is missing description
Data type component;Iec Unit Test;Global;utErrors;NO_TEST_CASES_DEFINED;Quality;Missing description;Component NO_TEST_CASES_DEFINED is missing description
Interface component;Iec Unit Test;Global;TestSuite;runCmd;Quality;Missing description;VAR: runCmd, missing description
Interface component;Iec Unit Test;Global;TestSuite;resetCmd;Quality;Missing description;VAR: resetCmd, missing description
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_BYTE;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_BYTE;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_BYTE;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_BYTE;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_WORD;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_WORD;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_WORD;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_WORD;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LTIME_OF_DAY;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LTIME_OF_DAY;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LTIME_OF_DAY;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LTIME_OF_DAY;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_USINT;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_USINT;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_USINT;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_USINT;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LREAL;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LREAL;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LREAL;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LREAL;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_WSTRING;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_WSTRING;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_WSTRING;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_WSTRING;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_TIME_OF_DAY;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_TIME_OF_DAY;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_TIME_OF_DAY;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_TIME_OF_DAY;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_INT;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_INT;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_INT;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_INT;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_DATE_AND_TIME;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_DATE_AND_TIME;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_DATE_AND_TIME;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_DATE_AND_TIME;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_SINT;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_SINT;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_SINT;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_SINT;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LDATE;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LDATE;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LDATE;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LDATE;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_UDINT;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_UDINT;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_UDINT;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_UDINT;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LDATE_AND_TIME;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LDATE_AND_TIME;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LDATE_AND_TIME;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LDATE_AND_TIME;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_STRING;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_STRING;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_STRING;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_STRING;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LINT;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LINT;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LINT;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LINT;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_TIME;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_TIME;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_TIME;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_TIME;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LTIME;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LTIME;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LTIME;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LTIME;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_ULINT;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_ULINT;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_ULINT;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_ULINT;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_DWORD;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_DWORD;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_DWORD;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_DWORD;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_UINT;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_UINT;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_UINT;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_UINT;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LWORD;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LWORD;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LWORD;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_LWORD;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_DINT;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_DINT;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_DINT;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_DINT;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_DATE;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_DATE;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_DATE;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_DATE;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_REAL;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_REAL;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_REAL;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_REAL;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_BOOL;vArray1;Quality;Unused interface component;VAR: vArray1, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_BOOL;vArray2;Quality;Unused interface component;VAR: vArray2, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_BOOL;vArray3;Quality;Unused interface component;VAR: vArray3, possibly not used
Interface component;Iec Unit Test;Library_tests_Application;test_assertArrayEqual_BOOL;vArray4;Quality;Unused interface component;VAR: vArray4, possibly not used
